[00:25:20.110] [LeftTransferStation] Vacuum Error
[00:28:12.328] [LeftTransferStation] Set Double Place
[00:29:45.241] [LeftTransferStation] Set Double Place
[00:38:34.559] [MainControlStation] Left Door Open
[01:28:44.190] [LeftPPStation] Move Axis Error
[01:29:18.988] [LeftPPStation] Load Cylinder Up Error
[02:07:26.032] [RightTransferStation] Vacuum Error
[02:13:49.004] [RightTransferStation] Move XY Axis Error
[03:03:23.569] [RightTransferStation] Move XY Axis Error
[03:03:36.369] [RightTransferStation] Move XY Axis Error
[03:12:46.164] [RightTransferStation] Move XY Axis Error
[03:32:32.830] [RightTransferStation] Move XY Axis Error
[03:40:37.800] [RightTransferStation] Move XY Axis Error
[03:50:09.383] [RightTransferStation] Move XY Axis Error
[03:55:44.833] [RightTransferStation] Move XY Axis Error
[11:36:00.916] [RightTransferStation] Vacuum Error
[13:09:02.521] [LeftTransferStation] Vacuum Error
[20:13:14.734] [RightTransferStation] Move XY Axis Error
[20:13:29.247] [RightTransferStation] Move XY Axis Error
[20:19:53.490] [RightTransferStation] Move XY Axis Error
[20:20:14.695] [RightTransferStation] Move XY Axis Error
[21:02:43.917] [RightTransferStation] Move XY Axis Error
[21:02:56.865] [RightTransferStation] Move XY Axis Error
[21:31:14.465] [RightTransferStation] Move XY Axis Error
[21:31:35.320] [RightTransferStation] Move XY Axis Error
[21:34:30.488] [RightTransferStation] Move XY Axis Error
[21:34:44.769] [RightTransferStation] Move XY Axis Error
[21:34:47.465] [RightTransferStation] Move XY Axis Error
[21:34:50.076] [RightTransferStation] Move XY Axis Error
[21:35:07.306] [RightTransferStation] Move XY Axis Error
[22:01:42.148] [LeftPPStation] Load Cylinder Up Error
[22:10:01.655] [RightTransferStation] Move XY Axis Error
[22:10:19.210] [RightTransferStation] Move XY Axis Error
[22:41:29.466] [RightTransferStation] Move XY Axis Error
[22:41:49.346] [RightTransferStation] Move XY Axis Error
[22:49:10.680] [RightTransferStation] Move XY Axis Error
[22:49:22.655] [RightTransferStation] Move XY Axis Error
[23:04:47.852] [RightTransferStation] Move XY Axis Error
[23:12:14.937] [RightTransferStation] Move XY Axis Error
[23:16:40.910] [RightTransferStation] Move XY Axis Error
[23:17:52.146] [RightTransferStation] Move XY Axis Error
[23:46:08.145] [RightTransferStation] Move XY Axis Error
[23:46:25.022] [RightTransferStation] Move XY Axis Error
[23:53:45.852] [RightTransferStation] Move XY Axis Error
[23:53:57.882] [RightTransferStation] Move XY Axis Error
