[13:17:32.862] [MainControlStation] Right Door Open
[13:27:13.834] [LeftPPStation] Load Cylinder Up Error
[13:27:23.779] [LeftPPStation] Load Cylinder Up Error
[13:27:29.893] [LeftPPStation] Load Cylinder Up Error
[13:27:36.667] [LeftPPStation] Load Cylinder Up Error
[13:27:45.172] [LeftPPStation] Load Cylinder Up Error
[13:27:53.376] [LeftPPStation] Load Cylinder Up Error
[13:28:00.548] [LeftPPStation] Load Cylinder Up Error
[13:28:07.105] [LeftPPStation] Load Cylinder Up Error
[13:28:17.500] [LeftPPStation] Load Cylinder Up Error
[13:30:12.134] [LeftPPStation] Load Cylinder Vacuum Error
